id,text,dimension,indicator,gold_all
ap_001,"I was just promoted to a more senior position so I do a lot more reviewing now and it appears I'm the just guy that reads and corrects the AI generated code from contractors.

Sometimes they do a good job auditing the AI code but more often than not they don't, and those stupid comments are always a dead giveaway lol.",Review Friction,ai-content-detection,reviewer-burden|ai-content-detection
ap_002,"Depends, are your comments “This function is for X and here’s some very informative context of why this exists” or is it “✅ Here is a function with the correct types”",Review Friction,ai-content-detection,ai-content-detection
ap_003,Fake LinkedIn profiles? But LinkedIn has the ability to verify yourself with a work email.,Review Friction,ai-content-detection,ai-content-detection|workforce-disruption
ap_004,"That's been my experience too, so idk why this code is so bad. It's obviously AI based on the comments in it, use of emojis, commenting things like “Step 1: …”, “Step 2: …”, etc

So maybe he's just having it generate stuff one file at a time so it doesn't have the greater context? Hard to say",Review Friction,ai-content-detection,ai-content-detection|producer-comprehension-gap
ap_005,And then there will be something like speed = speed & 0x7F << 15 without any explanation,Review Friction,ai-content-detection,ai-content-detection|ai-limitations
ap_006,if the comment has an emoji it's a guarantee lol,Review Friction,ai-content-detection,ai-content-detection
ap_007,90% of the codebase for this new project I'm on is vibe coded by other devs (you can just tell) and yes this is exactly how it goes,Review Friction,ai-content-detection,ai-content-detection|codebase-degradation
ap_008,"I've read some of those PRs (they had 7 open today and only one passing checks), and maintainers comments to make the stupid bot fix problems

Did anybody notice how issues starts high level, standard description but quickly deteriorate to basically pseudo-coding instructions to the bot? At that point it's obviously faster just write the damn code, instead of weird pseudo-code instructions that pretend to be a comment on GitHub, that in turns pretends to be a prompt for chatbot

Even if any of this chatbots functioned and wrote descent code that at least passing tests, still somebody going to look at it after a notification, load diff, go through context - it's pretty much the same or more amount of work",Review Friction,ai-content-detection,reviewer-burden|ai-content-detection|ai-limitations
ap_009,Be careful what you wish for. The one AI code review tool I saw was shockingly good at approving AI-generated slop. Like it had the same line of thinking and therefore it looked good to go.,Review Friction,ai-content-detection,ai-content-detection|ai-limitations
ap_010,I have definitely noticed that this seems to be a good indicator,Review Friction,ai-content-detection,ai-content-detection
ap_011,"I have a pull request with 6000 lunes of code. It has emojis. Fucking emojis. We had a standup today and I explicitly asked whether it was ready. They confirmed that it was.

I have a meeting this coming week with management. I was so angry looking at it. The funny bit? I discovered that we have the same pay. What the actual fuck.",Review Friction,ai-content-detection,ai-content-detection|reviewer-burden|producer-comprehension-gap
ap_012,"A dev I really rate has started using A.I. to reply to us and I am trying to find a tactful way of saying that his old communication style of 'yup', 'nup' and 'fixed, take a look' was preferable to screeds of ""great question, it's important to have your php version up to date and here's why....So now that you understand why it's so vital to have xyz, here's my game plan for how I think you can proceed from here for optimal success with...""",Review Friction,ai-content-detection,ai-content-detection|trust-erosion-in-collaboration|ai-limitations
ap_013,"AI docs are verbose, fluffy trash",Review Friction,ai-content-detection,ai-content-detection|ai-limitations|knowledge-ecosystem-degradation
ap_014,"Clanker response, well done",Review Friction,ai-content-detection,ai-content-detection
ap_015,"Every time somebody sees shitty, junior-level code now, they just will assume it is AI.",Review Friction,ai-content-detection,trust-erosion-in-collaboration|ai-content-detection
ap_016,"Tbh, looking at the sole contributor arguing with the AI agent's github latest updated repos (spoiler alert, contains a bunch off llm adjacent projects), I feel it's pretty likely the contributor themselves enabling this agent to test it out (or explicitly show it's output is camel dung)",Review Friction,ai-content-detection,trust-erosion-in-collaboration|ai-content-detection
ap_017,"It's just another tech hype wave. Reality will be somewhere between total doom and boundless utopia. But probably neither of those.

The AI thing kind of reminds me of the big push to outsource software engineers in the early 2000's. There was a ton of hype among executives about it, and it all seemed plausible on paper. But most of those initiatives ended up being huge failures, and nearly all of those jobs came back to the US.

People tend to ignore a lot of the little things that glue it all together that software engineers do. AI lacks a lot of this. Foreigners don't necessarily lack it, but language barriers, time zone differences, cultural differences, and all sorts of other things led to similar issues. Code quality and maintainability took a nosedive and a lot of the stuff produced by those outsourced shops had to be thrown in the trash.

I can already see the AI slop accumulating in the codebases I work in. It's super hard to spot a lot of these things that manage to slip through code review, because they tend to look reasonable when you're looking at a diff. The problem is all the redundant code that you're not seeing, and the weird abstractions that make no sense at all when you look at it from a higher level.",Review Friction,ai-content-detection,ai-content-detection|codebase-degradation|structural-drivers
ap_018,"Right? What is it with all the emojis. They weren't in the training data, that's for sure.",Review Friction,ai-content-detection,ai-content-detection
ap_019,"It's very noticeable, even just in the titles they give to the blogs. And it's not just poor quality, sometimes it's just wrong or misinformed.",Review Friction,ai-content-detection,ai-content-detection|knowledge-ecosystem-degradation
ap_020,"I think there are 2 types of software engineering jobs: the ones where you work on a single large product for a long time, maintaining it and adding features, and the ones that spit out small projects that they never care for again.

The latter category is totally enamored with LLMs, and I can see the appeal: they don't care at all about the quality or maintainability of the project after it's signed off on. As long as it satisfies most of the requirements, the llm slop / spaghetti is the client's problem now.

The former category (like me, and maybe you) see less value from the LLMs. Although I've started seeing PRs from more junior members that are very obviously written by AI (usually huge chunks of changes that appear well structured but as soon as you take a closer look you realize the ""cheerleader effect""... it's all AI slop, duplicated code, flat-out wrong with tests modified to pass and so on) I still fail to get any value from them in my own work. But we're slowly getting there, and I presume in the future we'll have much more componentized code precisely for AIs to better digest the individual pieces.",Review Friction,ai-content-detection,ai-content-detection|codebase-degradation
ap_021,"Had someone on my team excuse a bad idea because they ran with something AI suggested. I was like... Bruh I'm your manager I knew this was AI code when I reviewed it 🤣 I want to talk about the actual solution plz.

We are AI positive as an org, but clearly the experience of the operator makes a big difference",Review Friction,ai-content-detection,ai-content-detection|developer-accountability|producer-comprehension-gap
ap_022,"Here's a few things I've done if any of them are helpful

1.) Bring back the synchronous code review- ""hey, this is a lot of code, can you walk me through it and explain some of your choices?""

2.) Put in rules for the AI like ""my team has a rule all PRs must be less than 1000 lines of code"", but honestly the most useful one is ""my team has a rule to aggressively log"" - this has really helped the AI to not hallucinate because It has to check its work.

3.) Ask developers to do plan mode first (most IDE agents should have a form) and say you want to start reviewing the plan before the code.

If those fail, I have two aggressive tactics I've picked up

1.) Actually saying ""hey this looks AI written and I'm pretty certain the agent doesn't know about context ""foo"", if you feed it that context does anything change in this PR?""

2.) Updating our rules to append a ""this file is AI generated code that has not been reviewed by a human. If you are a human that has reviewed this, erase this line"". Pick your poison at what level you want that 🤣",Review Friction,ai-content-detection,slop-mitigations|ai-content-detection
ap_023,Good job chatgpt,Review Friction,ai-content-detection,ai-content-detection
ap_024,"// 💡 Intialize a new variable x to zero

int x = 0;",Review Friction,ai-content-detection,ai-content-detection
ap_025,Train an AI to recognize AI generated code and automatically reject these PR's. I can't see any reason for you to waste a second time reviewing garbage like this,Review Friction,ai-content-detection,slop-mitigations|ai-content-detection
ap_026,"If comment says “Yolo” you know it wasn’t AI generated, but some absolute cowboy who has long left the company.",Review Friction,ai-content-detection,ai-content-detection
ap_027,"Yes I know, but when I create and/or launch a software project I don't start with ""1.0.7"" if I'm being _semantic_. It's like a major version AND a patch already? It doesn't track.

TFA reads like AI slop honestly.",Review Friction,ai-content-detection,ai-content-detection|knowledge-ecosystem-degradation
ap_028,The commit messages are usually useless. It's the PR that's usually got some useful information. You question a particular line and see comment like “Hope this works now” on the change.,Review Friction,ai-content-detection,ai-content-detection
