id,text,dimension,indicator,perspective_type,setting
399,AI for vaccine outreach must include parents from communities with historical medical abuse.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,childhood immunization coalition,public health clinic
422,Language diversity isn’t just Spanish—we need speakers of indigenous and Asian languages too.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,multicultural health coordinator,public health department
402,Including farm families addresses the distance and time barriers to AI-based specialist referrals.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,rural health association,telemedicine hub
386,AI health chatbots must be tested by people with speech impairments to ensure alternative input paths.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,speech-language pathologist,neurorehabilitation unit
405,Including patients with dental phobia ensures AI oral health tools are gentle and not triggering.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,dental anxiety support group,community dental clinic
414,Historical distrust means we need targeted outreach to involve marginalized groups in AI oversight.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,public health researcher,patient advisory board recruitment
428,We need input from patients with limited digital skills to prevent AI from widening the divide.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,digital literacy instructor,senior community center
409,"When testing new health apps, we must include seniors to ensure interfaces work for aging eyes and hands.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,older adult patient,patient portal usability test
420,AI for chronic disease management must reflect the lives of shift workers and hourly employees.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,occupational health nurse,workplace wellness initiative
415,My teen daughter’s perspective on mental health chatbots is crucial—youth voices are often missing.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,parent of adolescent patient,youth mental health service design
395,Patients with multiple chronic conditions (multimorbidity) are experts in navigating complex care; include them.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,patient with multiple conditions,chronic care management
383,We must include patients who are illiterate in any language to design truly universal visual AI aids.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,literacy nonprofit director,adult learning center
360,"Without interpreters and translated materials, AI tools will exclude non-English speaking patients from benefits.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,community health worker,community health center
389,Including patients with obesity prevents AI from reinforcing weight stigma in care recommendations.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,size acceptance activist,primary care practice
398,Single parents working double shifts have different time poverty; their schedules must shape AI timing.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,single parent support group,family resource center
427,"Rural pharmacists see access barriers AI could solve, but only if we’re consulted.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,rural pharmacist,medication therapy management AI
397,Including patients with vision impairments tests AI's compatibility with screen readers and audio output.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,low-vision support group leader,rehabilitation hospital
412,"Without input from non-English speakers, translation AI could cause dangerous misunderstandings in care.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,medical interpreter,hospital diversity council
417,Indigenous communities should co-create AI tools to respect cultural perspectives on wellness.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,tribal health liaison,public health program
378,We need public advisors who live in areas with no broadband to weigh in on offline AI solutions.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,digital inclusion coordinator,public library telehealth hub
404,We need public advisors who live in food deserts to design nutrition AI that works with available foods.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,food bank nutritionist,screening program
423,"AI triage bots must learn regional dialects and colloquialisms, not just textbook medical terms.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,emergency department clinician,ambulance dispatch system
410,AI diagnostic tools should be evaluated by people with various disabilities to catch accessibility gaps.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,disability advocate,health technology assessment panel
374,Patients using medical devices like wheelchairs or oxygen need to test AI integration for practicality.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,rehabilitation therapist,assistive technology clinic
381,Formerly incarcerated individuals have unique health histories; their perspective guards against AI bias.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,reentry program director,community health fair
373,Teenagers and young adults have different privacy expectations; their voices are key for youth-focused AI.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,school nurse,adolescent health clinic
368,LGBTQ+ patients have specific health histories and needs; their perspectives must inform AI on sensitive data use.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,patient advocate,electronic health record review
363,Low-income patients' insurance and cost concerns are a reality check for AI recommendations on treatment.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,financial counselor,hospital discharge planning
376,"AI diagnostic support must be validated with skin tones across the full spectrum, not just light tones.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,dermatology patient,skin cancer screening program
367,We cannot design for 'the average patient'—median data hides the needs of our most vulnerable populations.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,health equity researcher,data governance committee
365,Including caregivers from diverse backgrounds is essential; they often operate the AI tools for patients.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,family caregiver,home health care
396,We need veterans to assess if AI tools are sensitive to military-culture health factors and trauma.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,Veterans Affairs patient advocate,VA primary care
387,Patients who use Medicaid have real-world cost constraints that must shape AI treatment suggestions.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,Medicaid navigator,enrollment assistance site
416,AI symptom checkers must be tested by people with low health literacy to avoid confusion.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,health literacy specialist,primary care clinic
382,AI for maternal health must center Black and Native women who face the worst outcomes.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,doulas' collective,birth center
79,"My elderly mother can't use the patient portal AI chatbot because it's too complicated, so she misses reminders.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",family member,patient portal
117,"Bias in the AI hiring screen filters out resumes with gaps, penalizing women and caregivers.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",policymaker,health system
89,"Bias in the radiology AI means it misses more tumors in minority patients, which is dangerous.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,diagnostic support
124,"The AI diagnostic tool seems to miss conditions in patients with darker skin tones, which is terrifying.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinician,diagnostic support
84,Non-English speakers get poorer AI-driven care because the systems don't understand their language or context.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",caregiver,clinic
78,The AI health app asks for too much personal data. Where does it all go and who can see it?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,telehealth
76,I don't trust the AI triage bot; what if it misjudges my symptoms because of my age or gender?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,emergency department
75,"Our rural clinic can't afford the new AI scheduling system that big city hospitals use, so we're left behind.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",health administrator,rural health clinic
126,"The algorithm for scheduling follow-ups seems to prioritize patients with smartphones, ignoring others.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",clinic receptionist,appointment scheduling
120,The AI mental health first-aid bot gives generic advice that doesn't consider cultural differences in expressing distress.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,mental health clinic
136,"Low-income neighborhoods have worse broadband, so they can't benefit equally from remote AI monitoring.",Challenges of implementing AI in health care,"Challenges with security, bias, and access",community advocate,community health setting
87,I avoid the AI symptom checker because I'm afraid it will store my sensitive info and share it with my employer.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",patient,telehealth
301,My first experience with the AI imaging tool was just a picture with a 'suggested fracture' label; I want a clinician to walk me through it next time.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,radiology department
319,My health plan sent a newsletter with a comic strip explaining how AI finds fraud—it made a complex topic feel accessible.,Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",health plan member,insurance portal
339,"The patient portal needs simple, step-by-step tutorials for the new AI symptom checker so everyone can use it confidently without calling for help.",Recommendations on public involvement in AI in health care,"Experience, empowerment, and raising awareness",patient,patient portal
