id,text,dimension,indicator,gold_all
ap_001,"Gov job isnt going to let us connect to AI outside their network so im fine for now.

Otherwise, it feels like a glorified web browser. And id rather not vet it like OP mentioned when i can see the website and instantly know how trustworthy the content is.",Review Friction,ai-content-detection,ai-content-detection
ap_002,"I was just promoted to a more senior position so I do a lot more reviewing now and it appears I'm the just guy that reads and corrects the AI generated code from contractors.

Sometimes they do a good job auditing the AI code but more often than not they don't, and those stupid comments are always a dead giveaway lol.",Review Friction,ai-content-detection,reviewer-burden|ai-content-detection
ap_003,"// 💡 Intialize a new variable x to zero

int x = 0;",Review Friction,ai-content-detection,ai-content-detection
ap_004,"Not at all small org but at a large org that hires remotely.

Tl;dr lots of interview rounds with plenty of face time and open ended system design and experience rounds that are hard to really cheat on.

We’re also experimenting with allowing use of AI tools in coding interviews.

As for sourcing? Good luck. It was shit before AI slop (due to bootcampers). It’s even harder now",Review Friction,ai-content-detection,slop-mitigations|ai-content-detection|workforce-disruption
ap_005,"It's just another tech hype wave. Reality will be somewhere between total doom and boundless utopia. But probably neither of those.

The AI thing kind of reminds me of the big push to outsource software engineers in the early 2000's. There was a ton of hype among executives about it, and it all seemed plausible on paper. But most of those initiatives ended up being huge failures, and nearly all of those jobs came back to the US.

People tend to ignore a lot of the little things that glue it all together that software engineers do. AI lacks a lot of this. Foreigners don't necessarily lack it, but language barriers, time zone differences, cultural differences, and all sorts of other things led to similar issues. Code quality and maintainability took a nosedive and a lot of the stuff produced by those outsourced shops had to be thrown in the trash.

I can already see the AI slop accumulating in the codebases I work in. It's super hard to spot a lot of these things that manage to slip through code review, because they tend to look reasonable when you're looking at a diff. The problem is all the redundant code that you're not seeing, and the weird abstractions that make no sense at all when you look at it from a higher level.",Review Friction,ai-content-detection,ai-content-detection|codebase-degradation|structural-drivers
ap_006,"As you probably know most LLMs struggle hard if the code is:

• Bespoke, or
• the project is quite large

The copilot ONLY focuses on the files that have changed and doesn't care about surrounding context, which is what is causing that 25%-50% miss chance, but at the same time for issues that don't need context it spots it, which incidentally is the area is where a lot of Reviewers might miss something.

If there is a conceptual issue with the approach a reviewer will see that as it's quite obvious (writing a new function even though a helper already has one, using the wrong endpoint, thread safety, etc...) but for things like refactors where all you really need to look at is how it was and how it is now, or a lot of samey code where even the author might copy paste something wrong, or mess up paths, the AI will step in and catch it.

As an example I had a PR which looked great, but AI noticed that one of the log messages had: Logger.Info($""Errors: {string.Join(',', ErrorList),}""
That "","" comma at the end looks correct if you are not paying attention since it's just a log, but should not be there and copilot spotted that.

TL;DR AI Reviewer is a great complement to a human reviewer as it does not ignore the little stuff where human brain might just gloss over, but at the same time wherever large context is required a human needs to step in. Funnily enough that is why I kind of despise AI written code because it is quite good at producing code chunks, which look good at first glance, makes it look like you can gloss over it, and then hides bugs there. Meaning areas of low confidence are obfuscated so you don't notice them and give it a bad score.",Review Friction,ai-content-detection,ai-content-detection|ai-limitations
ap_007,"I keep trying to realize this fancy autocomplete and it just doesn't get there. My most recent foray was like this, I wanted to get Copilot to generate some tests that were going to be tedious to write. Primarily because I wanted to use extensive mocks, which I normally avoid.

The generated result was really impressive, and I thought this was a turn of the corner for AI tooling.

But then I continued and learned that copilot had made basically every mistake possible in those few hundred generated lines. By the time I had finished I had touched nearly all of them, and some of the mistakes were really sneaky and pernicious mistakes that no one would reasonably make when writing a test. Things like a test that elaborately ends up testing a tautology rather than the code under test.

Overall every attempt I make leaves me distinctly unimpressed. To be really useful to me it needs to at least sometimes write something that works, and I have yet to receive this result despite many attempts.",Quality Degradation,ai-limitations,ai-limitations|codebase-degradation
ap_008,"Depends what you use it for. Writing code? Yeah it's so much faster and easier to just do it yourself.

Troubleshooting weird issues? It's surprisingly good for that. Even if 50% of its suggestions are useless and 80% don't work, it's still the same thing as you would have done by trying things mentioned in Github issues and Stack Overflow, but it saves you an hour or two of googling to get to these posts.",Quality Degradation,ai-limitations,ai-limitations
ap_009,"Reviewing someone else's AI slop

Someone on my team will publish a PR, it's like 1-2k lines of code and after looking at it for 5 minutes I can tell it's pretty much entirely AI generated.

I don't inherently have anything against AI code, but what irks me is it's full of really obvious issues. For example there's lots of repetitive code in several places that could be moved to a single function.

This is something I'd expect a junior to spot/fix and this person has like 4+ YoE so they should definitely know better. So they're either not reviewing their AI generated code whatsoever or they're a much worse engineer than I thought.

Anyone dealt with something similar? Trying to figure out how to navigate this without causing the person to mentally check out due to me confronting them.",Quality Degradation,codebase-degradation,ai-content-detection|reviewer-burden|codebase-degradation|producer-comprehension-gap
ap_010,"Manager isn't super technical and I'm the lead of the project so it's hard to know where the lines are drawn in terms of who should talk to him but I'll definitely escalate it if I can't get through to him.

Merging in slop is a no-go. This project is way too high impact with a ton of visibility and a tight (yet not unreasonable) deadline so I can't afford to merge crap.",Quality Degradation,codebase-degradation,slop-mitigations|codebase-degradation
ap_011,Yes the root cause is a bad engineer problem. But AI is enabling that bad engineer to produce terrible code 100x faster so it's a major contributor too,Quality Degradation,codebase-degradation,codebase-degradation
ap_012,"Yup, it seems to have taken away the fun bit and given more of the bits I hated about dev from what I've seen so far.

I didn't at first, but now I'm considering myself lucky that I work in a company that won't allow AI near their codebases (yet), so it's been business as usual for me.

I have been using ai to bounce ideas and questions off though, example code snippets, link to relevant docs etc. But it's all browser based.",Forces and Consequences,craft-erosion,craft-erosion
ap_013,"Lmaoooo.

Unfortunately (for the people in hurry), good software cannot be done faster. Crafting good software takes time, and throwing in more ai generated garbage only makes things worse and slower",Forces and Consequences,craft-erosion,craft-erosion
ap_014,"This to me is interesting when it comes to free software projects; sure there are a lot of people contributing as their day job. But if you contribute or manage a project for the pleasure of it, things which undermine your enjoyment - cleaning up AI slop - are absolutely a thing to say ""fuck off"" over.",Forces and Consequences,craft-erosion,reviewer-burden|craft-erosion
ap_015,"It's refreshing to read this, this is exactly my experience with it so far. There's so much hype though I've been feeling like I was the only one. I also don't particularly care to spend so much of my time on prompt engineering. Improved inline code completion suggestions are great, but past that I'm not seeing these great productivity gains people go on about, and it's not very enjoyable.",Forces and Consequences,craft-erosion,craft-erosion
ap_016,Some devs were vibe-coding long before LLMs were a thing,Forces and Consequences,craft-erosion,craft-erosion
ap_017,"Yes. As my wife would say, the problem with AI is that people are busy making it ""create"" and I just want it to do the dishes -- so *I* can create.",Forces and Consequences,craft-erosion,craft-erosion
ap_018,"Which is crucial, because what was rewarding about working with interns – the thing that always kept me going – was helping another human being launch their career, helping them become a better software developer. By contrast, there's nothing rewarding about explaining basic software development to an AI.",Forces and Consequences,craft-erosion,craft-erosion
ap_019,Well at least we'll have work forever fixing the ai bugs. sounds awful though.,Forces and Consequences,craft-erosion,workforce-disruption|craft-erosion
ap_020,"Oh you're missing the boat if you're not making this absolutely intentional. It is such a fantastic opportunity that you can't possibly pass this up. Four decade+ IT architect here. Just signed my first ever severance agreement in my entire career. I'm essentially done in 7 months. Being replaced by a crew of outsourced devs from India. Very nice people. I have no qualms with these folks. People need to earn a living around the world, and I am just fine with that.

So I'm tasked with 'knowledge transfer' and of course 'getting sprint tasks completed' because nobody else can yet. Indeed the PR's are coming in from overseas, all AI generated. No surprises here. I fully expect that. The folks from overseas are not stupid. They know how to play the game. Especially with US based money flow.

So (insert Mark Manson's 'Subtle Are of Not Giving a F*k') I start thinking to myself, why do I care so much? Is it because I poured my heart and soul into this code base? Giving it every bit of attention and honor that one would give to something that truly mattered? Or because I cared about the users of the app? Their lives? The impact they would have on others because this code base was of the best quality I could possibly produce? Yes, indeed that was the reason...but

...capitalism doesn't care. So WHY...SHOULD...I?

Introducing a $25.00/month Claude Code Pro subscription. Perfect! They want AI. They're going to get AI. And honestly it's been a JOY to BEHOLD such a fitting REVENGE!!! And so f'ing easy.

I just let Claude Code SLOP IT OUT FOR ME. And it gets reviews and checked in!!!! The code works! Is it extendable? No. Does it fit into the context of the larger architecture? Just barely. Does it fit any overall standards? No. Does one function resemble another in terms of coding style and approach? Absolutely not! Is it code that will stand the test of time? Hell no. Will it be maintainable in a year? Not by anyone with less than 3 decades into the industry. And the list goes on, and on, and on of how this SLOP CRAP violates everything we have held to quality up until now.

Are the capitalists happy? Of course they are! Look at how 'productive' I am now! I can bang out a new radio-set by lunchtime!!! Full stack!!!

But the Beast lies waiting, for the future. Salivating. When the wall hits. When no one knows, anywhere how the overwhelmingly expensive codebase, got to the point where no change can be made to it, without the entire castle, falling to the ground like a house of cards.

Live the dream! SLOP YOUR WAY OUT! We deserved better!",Forces and Consequences,craft-erosion,codebase-degradation|craft-erosion|mandated-ai-adoption|structural-drivers
ap_021,"If I review (and rework) their code I can find the pieces of brilliance, where they encoded their deep understanding of the high frequency emitter and receiver even if the C is bad.

I work as a firmware dev in power electronics where the EE PhDs write a lot of code, I feel this in my soul haha",Forces and Consequences,craft-erosion,craft-erosion
ap_022,"I'm not passing judgement in that comment about if carefully crafting and curating code is a net win productivity wise over quickly churning out ai slop that is ostensibly viable long term.

I _personally_ follow the careful crafting and review approach. I think a deep understanding of the systematic ideas underlying a project is critical to continuing to improve it effectively and I believe code that is easy to understand is extremely valuable for that. I'm my experience so far the ai stuff seems to create more, harder work for me in the long run and I end up with worse understanding after than if I just wrote it myself but I recognize that's just my person anedata so far and we're at the beginning of this ai coding landscape.

I'm also open to the idea that lots of software we currently carefully craft by hand could likely be autogenerated ad hoc as needed. Moreover, good engineers are extremely expensive and most software is quite bad anyway so I expect there is a new balance to be found here.

For my 2 cents, I'm not removing my or my company's ability to understand our own software in exchange for vendor lock in with ai (even if they weren't all owned by the current set of megalomaniacs) but I see the angles and I'm not afraid to consider the tradeoffs or have the conversation.",Review Friction,developer-accountability,reviewer-burden|developer-accountability|craft-erosion
ap_023,"Had someone on my team excuse a bad idea because they ran with something AI suggested. I was like... Bruh I'm your manager I knew this was AI code when I reviewed it 🤣 I want to talk about the actual solution plz.

We are AI positive as an org, but clearly the experience of the operator makes a big difference",Review Friction,developer-accountability,ai-content-detection|developer-accountability|producer-comprehension-gap
ap_024,"Who cares if they mentally check out? They're either not capable or they're already mentally checked out to submit that PR in the first place. Don't accept it, and don't cover for them. Don't enable them to keep doing what they're doing.",Review Friction,developer-accountability,developer-accountability
ap_025,"I guess have the team talk about how to handle PRs and AI in general, but if the dev can't be bothered to read their own PR then I don't know why they'd expect anyone else to.",Review Friction,developer-accountability,slop-mitigations|developer-accountability
ap_026,"This is such a massive problem that it's baffling all these AI companies didn't seem to think ahead.

This was the first thing I thought of when AI started gaining hype. How does ""AI"" sustain itself when its being deployed specifically to cut off its only ""food source"".

AI training AI is such a catestrophic issue that no one is talking about.",Quality Degradation,knowledge-ecosystem-degradation,knowledge-ecosystem-degradation|ai-limitations
