id,text,dimension,indicator,perspective_type,setting
408,AI for fall prevention in elders must account for multigenerational homes and housing layout variability.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,aging-in-place specialist,senior center
376,"AI diagnostic support must be validated with skin tones across the full spectrum, not just light tones.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,dermatology patient,skin cancer screening program
409,"When testing new health apps, we must include seniors to ensure interfaces work for aging eyes and hands.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,older adult patient,patient portal usability test
390,Seasonal migrant workers have transient coverage; AI must handle fragmented records gracefully.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,mobile health clinic nurse,migrant worker camp
413,Low-income patients must help design AI scheduling systems that account for transportation and childcare hurdles.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,community health worker,community health center
418,We need more caregivers in these discussions—they see how AI impacts dailypatient routines.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,family caregiver,home health care coordination
420,AI for chronic disease management must reflect the lives of shift workers and hourly employees.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,occupational health nurse,workplace wellness initiative
425,Hearing aid users should evaluate audio-based AI to prevent feedback or incompatibility.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,audiology patient,tele-audiology service
362,"Rural patients' connectivity and lifestyle realities must shape telehealth AI, not just urban assumptions.",Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,rural patient,telehealth program
403,AI for depression screening must be validated with cultures that somatize emotional distress differently.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,cross-cultural psychologist,community mental health
373,Teenagers and young adults have different privacy expectations; their voices are key for youth-focused AI.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,school nurse,adolescent health clinic
393,AI for pain management must include patients with chronic pain who are often dismissed by providers.,Recommendations on public involvement in AI in health care,Acknowledging and supporting diversity in public involvement,chronic pain advocate,pain management clinic
78,The AI health app asks for too much personal data. Where does it all go and who can see it?,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,telehealth
96,My health data from the AI wearables is shared with third-party advertisers without clear consent.,Challenges of implementing AI in health care,"Challenges with security, bias, and access",community member,pharmacy
