id,text,dimension,indicator,perspective_type,setting
1,"The AI tool gave my doctor a clear summary of my options, which made our conversation about treatment much easier to understand.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Oncology consultation
2,"Using the diagnostic support system, we caught an early sign of a complication that might have been missed otherwise.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Clinician,Primary care clinic
3,The algorithm highlighted patterns in my lab results that helped pinpoint the issue faster.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Endocrinology appointment
4,"This decision aid presents the risks and benefits of each surgery type visually, so my family and I could weigh them together.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Pre-operative clinic
5,"AI-assisted imaging analysis provided a second opinion that confirmed our initial reading, increasing our confidence.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Radiologist,Diagnostic imaging department
6,"The system flagged a potential drug interaction before the prescription was sent, preventing a possible error.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Pharmacist,Hospital pharmacy
7,My care team used a predictive model to tailor my recovery plan specifically to my health history.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Post-surgical unit
8,"It generates plain-language explanations of complex conditions, which I then review with my doctor.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Neurology follow-up
9,The risk stratification tool helped us prioritize patients who needed urgent cardiac follow-up.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Cardiologist,Heart clinic
10,I feel more involved now that the portal shows me how my data compares to similar cases.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Patient portal use
11,Clinical decision support at the bedside reduced variation in how we manage sepsis protocols.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Emergency Department physician,Emergency department
12,The treatment recommendation engine incorporated my preferences about side effects into the final plan.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Cancer treatment center
13,AI-powered symptom checkers help patients articulate their concerns more clearly before the visit.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Medical office staff,Outpatient clinic intake
14,We use a shared decision-making platform that visualizes long-term outcomes for different diabetes management strategies.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Diabetes educator,Community health center
15,The pathology AI identified a subtle feature that changed the diagnosis and thus the entire treatment approach.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Pathologist,Laboratory
16,It’s like having a knowledgeable assistant that reminds me of the latest guidelines during a busy clinic day.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Primary care physician,Family practice
17,"My doctor showed me an AI-generated risk score for heart disease, which motivated me to change my lifestyle.",Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Patient,Preventive cardiology
18,Algorithmic suggestions for antibiotic choice have reduced inappropriate prescribing in our clinic.,Advantages of implementing AI in health care,Improve quality of patient care and shared decision-making,Infectious disease specialist,Urgent care
