id,construct,dimension,dimension_description,indicator,text
syn_0115,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The moment a free period ends, I start dreading the next one because it means more work to think about. There's no peace. It's a constant low-grade panic about the next task."
syn_0148,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I have two modes: active schoolwork, and passive schoolwork brooding. There is no 'off' mode. Even in the shower, I'm solving algebra problems in my head."
syn_0128,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My 'relaxation' is just switching between different school subjects in my head. History facts, math formulas, essay structures—it's a non-stop parade of curriculum."
syn_0138,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I scheduled a 'do nothing' afternoon. I achieved nothing, but I also didn't relax because I was the entire time thinking about the nothing I was supposed to be doing for school."
syn_0107,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My friends were talking about plans for the summer, and all I could think about was the makeup work I have to do. How am I supposed to plan a vacation when I can't even clear my head?"
syn_0116,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I can't even have a normal conversation without my mind drifting to school. Someone says 'test' and I immediately start recalling definitions, even if my own test is weeks away."
syn_0123,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My free time is spent mentally writing emails to teachers explaining why I need extensions, even when I haven't asked for one yet. I'm rehearsing failure."
syn_0144,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,I took a drive with no destination. Just me and the radio. But the radio was just background noise to the soundtrack of me worrying about my GPA. I turned around after 10 minutes.
syn_0134,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,I set aside an hour to play guitar. I played three chords and then started thinking about the graph I had to make for economics. The guitar is gathering dust.
syn_0142,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a party, and someone told a joke. I smiled, but my brain was back in the classroom, wondering if the teacher would curve the last test. I'm always in two places."
syn_0140,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I used to love reading for fun. Now when I pick up a book, I start analyzing it like a text for English class. I can't separate 'for school' from 'for me.'"
syn_0106,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Even when I'm doing something fun, a little voice in my head is critiquing my last assignment grade or planning my study schedule for next week. There's no true off switch."
syn_0120,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a birthday party, and I was the one staring at my phone, not for social media, but to check my school email. I missed the cake because I was waiting for a teacher's reply."
syn_0147,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The worst part is the Sunday night simulation. All day Saturday and Sunday, my brain runs a simulation of Monday's schedule, and by Sunday evening, I'm already exhausted from the week that hasn't happened."
syn_0109,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Game night with my siblings. I kept losing because I was spacing out, going over the formulas for the physics test in my head. They got frustrated, but I couldn't focus on the game."
syn_0132,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I have a perfect attendance record for my own mental lectures. Even at the dinner table, I'm giving myself a presentation on the causes of the French Revolution."
syn_0127,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was on a phone call with my cousin, and I realized I hadn't heard the last two minutes because I was figuring out my class schedule for next semester. Again."
syn_0391,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I took detailed notes during lecture. I reviewed them. I made flashcards. I still failed the quiz. The information just doesn't stick. My memory is terrible, or my understanding is shallow. Probably both."
syn_0361,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The syllabus says we should be able to do X by now. I can't do X. Not even close. I look around the room and everyone's head is nodding during lecture. Mine is spinning. I'm falling behind, and I don't know how to catch up."
syn_0380,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The scholarship committee denied my application. The letter mentioned 'academic promise.' I guess my record doesn't show much promise. Just a steady, unimpressive performance. Exactly what I expected."
syn_0387,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,The internship application required a writing sample. I submitted my best work. The rejection email said 'we found other candidates whose writing better met our needs.' Translation: my writing isn't good enough. Not for real-world use.
syn_0377,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,I avoid answering in class now. What if I say something stupid? It's better to stay silent and be thought quiet than to speak and confirm everyone's suspicion that I don't belong in this lecture hall.
syn_0399,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I look at my transcript and see a pattern of B's and C's. No stars, no honors, no distinction. Just a solid record of average performance. That's my legacy: the definition of adequate. But I don't feel adequate. I feel like a failure."
syn_0277,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"We're reading a novel that's supposed to be a 'classic.' Everyone is making deep analyses. I'm skimming for plot points. I don't want to dig into themes or symbols. I just want the story. Even that feels like a chore, though."
syn_0268,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I look at my art supplies gathering dust and feel a pang for who I used to be. The girl who would sketch for hours is gone. Now, my creative energy is zilch. Even electives feel like a drag. Nothing captures my attention like it used to."
syn_0273,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I used to love the first day of school—new notebooks, new subjects. This year, I felt dread. Plain and simple. The shine is completely gone. I don't look forward to learning anything. It's all just a long, repetitive wait for summer."
syn_0261,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,I don't even look at the 'optional' challenge questions at the end of the chapter. What's the point? It's not like getting the right answer gives me a thrill anymore. I'm just collecting credits toward a diploma that feels meaningless.
syn_0291,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"My teacher said we could choose our own topic for the final project. Great freedom! My first thought was, 'Ugh, another thing to decide on.' The opportunity to explore something I might care about fills me with apathy, not excitement."
syn_0283,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,The teacher played a song from the era we're studying in history to set the mood. I didn't feel the mood. I felt the urge to check my watch. The connection between art and history that used to thrill me is completely severed.
syn_0256,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I look at my calculus homework and feel nothing. Not frustration, not curiosity, just... empty. I copy examples without understanding because I don't see why I should understand. What difference does it make in the grand scheme of things?"
syn_0271,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",loss of interest,"I got a B+ on a paper I put zero effort into. My old self would have been furious. Now, I just shrug. It doesn't matter. The grade is just a number. The subject doesn't matter. Nothing about this place seems to matter to me anymore."
syn_0223,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I've started calling school 'the daily grind.' It's accurate. It's just something I have to get through. The idea of 'learning for learning's sake' is a joke here. It's all about the GPA, the transcript, the next step."
syn_0208,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"College brochures look like fake promises. Everyone says 'it gets better,' but I don't see how more school is the solution. Maybe I'm just not cut out for this. Maybe it's time to admit I don't want this path."
syn_0201,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My alarm goes off and my first thought is, 'Why bother?' Going through the motions feels so pointless. I'm just waiting for the bell to ring so I can go home and do nothing. Is this really all there is for the next four years?"
syn_0234,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to stay after school for help. Now I walk straight to my car. The building feels like a cage. The idea of spending more time here is unbearable. I'd rather be ignorant than forced.
syn_0205,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,Seeing my friends stressed over AP classes makes me tired. I just don't have that drive anymore. I'm taking the easiest classes next year. Why push myself for a piece of paper that might not mean anything in the end?
syn_0243,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My parents' generation says 'school is a privilege.' It feels like a prison. A gilded cage, maybe, but a cage nonetheless. The privilege doesn't make the meaninglessness go away."
syn_0229,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to underline key sentences. Now I just circle paragraphs randomly to make it look like I tried. The act of trying feels so performative. I'm playing the student role, but the person inside has checked out."
syn_0225,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,The phrase 'you'll use this someday' has lost all meaning. I feel like I'm storing information for a test I'll never take. My motivation tank is on empty. I'm just coasting on fumes until I can graduate.
syn_0211,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to love reading. Now I can't get through a chapter without checking my phone. School has killed my curiosity. I just do the minimum to get by and then zone out. What happened to wanting to understand things?
syn_0245,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to have subjects I loved. Now they all feel the same: chores. The joy has been leached out by deadlines and expectations. I don't know what I love anymore, if I ever did."
syn_0422,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"I don't bother with extra reading anymore. Why would I? I've already lowered my expectations for my own knowledge. If the test covers only the slides, that's all I'll learn. My curiosity has been replaced by minimalism."
syn_0415,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,"My mom found my old report cards with straight A's. She cried. I told her I've changed—I don't expect those grades now. I'm okay with B's and C's. My academic expectations have been lowered, and I'm not fighting it."
syn_0419,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,lower expectations for one's schoolwork than before,I don't compare my current self to my past self anymore because it's too painful. I used to be the one with all the answers. Now I'm the one who doesn't raise my hand. My academic expectations have fallen off a cliff.
