ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
Energy production creates California jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
Natual gas production isn't just helping heat homes. It's also helping bring growth and jobs to other industries in Pennsylvania. Learn more about these local PA business owners,PA,CA,CB,,CA
"Weve pledged $1 million to support schools and emergency services across our service areas, including Colorados Front Range.",CA,,,,CA
VIDEO: Our Mariner East 2 pipeline work increased customers and revenue for Pennsylvania-based Tops Diner. Committed2PA,CA,,,,CA
"According to just-released data from the Texas Oil & Gas Association (TXOGA), the Texas oil and natural gas industry paid more than $16 billion in state and local taxes and state royalties in fiscal year 2019 the highest total in Texas history. TXOGA President Todd Staples hosted a media briefing this morning to share the new report and to provide a closer look at how Texas uses oil and natural gas tax revenue to benefit all Texans. Despite challenges in the global marketplace, state and local taxes and state royalties paid by the Texas oil and natural gas industry shattered records last year exceeding $16 billion, said Staples. Continuous innovation and policies that encourage safe, responsible energy development are driving our nation, our state and our communities to new heights. Read the full release here: Find the report here:",CA,,,,CA
"Take action now to urge County Officials to vote NO on the General Plan that will hurt thousands of jobs, cut millions in county tax revenues for schools and public safety, and harm our economic recovery.",CA,CB,,,CA
"Alaska's small businesses depend on a stable economy, and with current challenges already impacting that, now is not the time to raise taxes on the oil industry or any business. Higher taxes will put our economy and jobs even more at risk.",CA,CB,,,CA
"Were hard at work bringing jobs, investments and energy security to Texas communities.",CA,CB,,,CA
Natural gas and oil play an important role in North Dakotas economy. Jobs are important and so is protecting our environment. Thats why we are responsibly delivering energy while supporting economic development. We dont have to choose between protecting jobs or the environment; we can have both.,CA,CB,,,CA
"In a recent debate between the two candidates running for Alaska's seat in the U.S. House of Representatives, both Alyse Galvin for Congress 2020 and Congressman Don Young agreed on one thing: that Ballot Measure 1 would be bad for Alaska, as both oppose this harmful ballot measure.",CA,,,,CA
"In Aurora, Colorado abundant domestic natural gas and oil is helping grow the local economy and empowering people, businesses, and manufacturing. SOAE2020 EnergyForProgress",CA,CB,,,CA
"This is Nancy, Executive Vice President of Hunter Truck, making connections right here in Moon Township. EnergyForProgress",CA,PA,SA,,CA
"Fracking for oil and natural gas provides over $1 billion per year for New Mexico schools. Those funds help put teachers in classrooms, buy new textbooks, and keep our schools running. See more at www.lifewithoutfracking.com",CA,,,,CA
We need a stable economic future for Alaska Join Now,CA,,,,CA
"How might ballot measure 1 affect you if it's passed? Find out in this explainer video, and then remember to Vote No on One on November 3rd.",CA,CB,,,CA
"FACT: We believe that meaningful consultation and ongoing communications with all stakeholders are key to environmentally responsible energy infrastructure. These collaborative relationships enable us to meet our country's energy needs, promote economic prosperity, and foster America's energy independence. To learn more facts visit: DAPL DakotaAccess Pipelines Oil Community Respect SocialResponsibility",PA,SA,CA,,CA
"Energy Progress Across America: In Red Wing, Minnesota, the natural gas and oil industry contributes $5.1 Billion to the district economy annually. EnergyForProgress",CA,,,,CA
"In times of economic uncertainty, we must put Alaska first Join Us",CA,,,,CA
The oil and gas industry is the backbone of the Alaska Permanent Fund. Learn how it works in this explainer video.,CA,,,,CA
"The time is now to speak up against proration, a cap on oil and gas production in Texas that would limit the flow of capital into our state.",CA,,,,CA
Mayor Janway of Carlsbad correctly recognizes the opportunities afforded to New Mexico thanks to the shale revolution.,CA,,,,CA
"During construction, pipeline projects generate new economic activity and contribute to local communities. Like our page to stay updated about the project!",CA,,,,CA
"The Pennsylvania Game Commission recently approved the expansion of game lands in the Commonwealth by 229 acres made possible by a donation from Energy Transfers wholly owned subsidiary, Regency Marcellus Gas Gathering, LLC. Blog Post: Conservation Pipelines Habitat",CA,,,,CA
73 percent of voters believe the oil and natural gas industry will play an important role in helping our economy recover from the economic impact of the coronavirus pandemic.,CA,,,,CA
"Its really important to have a healthy oil and gas industry in Alaska, Schaefer said. That really reflects to a healthy economy and Alaska, because it is so vital to Alaskans. Read more about what was discussed at the Kenai and Soldotna Chambers of Commerce joint luncheon:",CA,,,,CA
These unions from around the state agree: Ballot Measure 1 is bad for Alaska. That's why each has joined OneALASKA in Voting No on 1.,CA,CB,,,CA
"The Dakota Access Pipeline is currently moving approximately half of the Bakkens oil output per day. Optimizing the existing pipeline by adding horsepower will help allow for further development in the Bakken, economic growth in North Dakota, and the stabilization of costs for the industry and consumers. DAPL DakotaAccess SupportDAPL NorthDakota Bakken Oil Pipelines DakotaAccessPipeline",CA,PA,,,CA
"At Energy Transfer, we are committed to being a good neighbor and business partner in the communities in which we operate. That means supporting many types of organizations, causes and local initiatives across the 38 states through both direct donations and our employee volunteer program. These commitments are held as fundamental core values and are an integral part of who we are as a corporate citizen. EnergyTransfer DoingItRight ETcares",CA,,,,CA
"The growth of the oil and natural gas industry is giving New Mexico unprecedented opportunities to invest in the future of our state. The benefits of an educated, homegrown, skilled workforce cannot be overstated.",CA,,,,CA
Were proud to invest in training local first responders along the route. 85% of the firefighters weve trained are volunteers. We thank them for their commitment to the community.,CA,,,,CA
Regulators are considering rules that would harm Colorados economy and eliminate jobs.,CA,CB,,,CA
"NEPA has increasingly been misused to delay and prevent infrastructure development, negatively affecting jobs, tax revenue and investments in communities across the country.",CA,CB,,,CA
"New Mexicos two largest permanent funds will pump an all-time high of nearly $1.1 billion into state schools, hospitals and other programs in the coming budget year. The record distributions from the Land Grant Permanent Fund and Severance Tax Permanent Fund stem from investment gains and gushing inflows via taxes and royalties from oil production in southeast New Mexico.""",CA,,,,CA
"""Alaska doesnt make money on taxing oil; it makes money on producing oil."" That's what Sam Moore shared in a recent op-ed for the Anchorage Press, as he writes about the risk connected to Ballot Measure 1.",CA,,,,CA
"Conservation and energy production are not mutually exclusive, and Texas' oil and natural gas industry is taking action to ensure that our state's species and habitats are not adversely affected.",CA,PA,GA,,CA
The Mariner East 2 pipeline is creating economic growth and prosperity in Pennsylvania.,CA,CB,,,CA
"According to former Commissioner of Revenue Bill Corbus, Ballot Measure 1 would create a roadblock to Alaskas economic recovery. Read about why now is the wrong time to raise taxes on any part of our economy.",CA,,,,CA
"Oil and gas help fund New Mexico's schools, public safety, and health care. But without fracking, oil and gas production in New Mexico would be nearly nonexistent.",CA,,,,CA
Energy production creates Ohio jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
"ICYMI Hope Fernandez Williams, Winkler County Commissioner, discusses how critical infrastructure projects like Wink to Webster are helping the West Texas economy recover and supporting our community organizations.",CA,,,,CA
"Statewide studies reveal the natural gas and oil industry poured more than $1 billion into the New Mexico schools. In addition, Gov. Michelle Lujan Grisham has proposed free college tuition for all state residents largely funded by natural gas and oil. EnergyForProgress",CA,,,,CA
New Mexicos oil and natural gas industry supports the construction of new roads and highways that are crucial to our states continued economic growth.,CA,,,,CA
Energy production creates local jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
2020 has been a disaster for Alaska. Let's turn the page on 2020 by Voting No on 1.,CA,CB,,,CA
"Like this post if you are a natgas utility worker. Thank you for your hard work to fuel PPE production, essential services and our homes!",PA,PB,CA,,CA
"ANSEP provides opportunities for Alaska Native students to pursue careers in science and engineering in Alaska. By voting No on Ballot Measure 1, we can ensure the industry will be able to continue supplying jobs for these students for generations to come.",CA,CB,,,CA
TAKE ACTION TODAY! Contact your local officials and tell them to support Santa Barbaras economy and increase revenue for public safety services by approving the temporary trucking permit and restarting ExxonMobils Santa Ynez Unit.,CA,,,,CA
The tax initiative stands in stark contrast to the vision of a stable future for Alaska.,CA,CB,,,CA
Proposed setbacks could drive energy companies out of Colorado. Our states economy is suffering. Placing undue burden on Colorados second-largest industry would only worsen the pain felt by everyday Coloradans.,CA,,,,CA
"This is Brian, he works at Extraction Oil & Gas, a company committed to responsible energy development in their community. SOAE2020 EnergyForProgress",CA,CB,,,CA
"The Chattanooga region attracted over 18,000 jobs and $3.6 billion in investments by having affordable energy. Do you know where all the jobs are? Learn more at:",CA,CB,PA,,CA
"In times like these, every job and dollar counts more than ever. Protect thousands of local oil & gas jobs that provide billions in state revenue for schools and first responders.",CA,CB,,,CA
We need a healthy oil and gas industry to get back to normal and heading towards a bright future for Alaska. That's a big part of the reason Chelsea Pohland from Shampoo Etc. is voting no on one.,CA,,,,CA
Lets make sure candidates know the natural gas and oil industry is essential to our countrys economic recovery. Visit our election resource page to stay up to date with the election process:,CA,,,,CA
"The Restore Pennsylvania plan threatens the natural gas industrya key economic driver and job provider in the commonwealthand the communities it supports. Last year alone, the natural gas industry provided over $250 million in funding for all 67 counties.",CA,CB,,,CA
"Americans deserve a reliable, abundant energy source. See how the abundant supply of natural gas in America plays a critical role in energy security, strengthening the economy, creating jobs and more:",PA,CB,CA,,CA
Minnesota charities focused on health and safety as well as environmental and community causes were beneficiaries of gifts and investments made in cities across the state where energy infrastructure is located.,CA,,,,CA
YES or NO? Is the Great Lakes Tunnel privately funded? The answer is YES! That means no out of pocket expenses for you the taxpayer! See for yourself here:,CA,,,,CA
"""We need bipartisan support for natural gas if we want to keep our economy growing, energy rates down and movement in the right direction toward a cleaner energy future.""",CA,PA,GC,,CA
"America is energy independent thanks to U.S. oil and natural gas production. Now, that hard-earned independence is in jeopardy. The time to protect U.S. energy is now. Its never been more important to our national security and our economy.",SA,CA,,,CA
"We cant help but say thank you to our employees who are not only providing safe, reliable and clean energy across the country but are also serving their communities. We are Williams!",PA,GC,CA,,CA
We are committed to being good partners in the communities in which we operate. We were proud to contribute a Good Neighbor Grant to help fund Sterling Countys newest ambulance.,CA,,,,CA
Limiting oil and natural gas production is bad for business in Texas. Keeping Texas strong keeps America strong. Say no to restricting Texas energy with energy production quotas.,CA,,,,CA
Restarting the SYU will increase critical funding for our local schools and public safety throughout Santa Barbara County by more than $7 million per year. Take action today!,CA,,,,CA
"A healthy oil industry supports jobs and now and for the next generation, and ballot measure 1 puts Alaska's future in danger. That's why David Evans is voting no on one on November 3rd.",CA,CB,,,CA
Alaskas North Slope development keeps jobs and the economy strong. But without this continued investment? It could mean fewer jobs and a stagnant economy. Join us and take a stand.,CA,CB,,,CA
"New Mexicos rig count is currently at 113. These rigs mean more jobs for New Mexicans and more funding for our schools, infrastructure, and first responders!",CB,CA,,,CA
"The natural gas and oil industry will meet the challenges ahead, for a stronger economy and cleaner future by expanding partnerships, developing best-in-class standards, driving new technologies, and supporting smarter regulations that boost innovation. SOAE2020 EnergyForProgress",CA,GA,,,CA
The efficient transportation provided by pipeline projects like Wink to Webster will help keep Permian oil prices competitive on the world market. Another of the hidden benefits of our underground infrastructure.,CA,,,,CA
"Raising taxes now on any business, even oil companies, will hurt our economy and jobs. That's why Montana Creek Campground's Joe Mathis is Voting No on 1.",CA,CB,,,CA
"A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten Americas economic growth and cut nearly a million jobs. EnergyConversations",PA,CA,CB,,CA
Pledge to vote to save New Mexicos oil and gas industry this election. A vote for jobs is a vote for a stronger economy and a brighter future for New Mexico. Visit www.voteforjobsnm.org to learn more.,CA,CB,,,CA
"In 2018, oil and natural gas revenue pumped $1.06 BILLION in funding for education! LIKE our page if you support the oil and natural gas industry!",CA,,,,CA
A federal fracking ban would cause New Mexico to quickly lose billions of dollars in state revenues -- not to mention thousands of jobs.,CA,CB,,,CA
Read why Williams employee Roderick Guillory was one of the first to help after Hurricane Laura struck southwest Louisiana:,CA,,,,CA
