id,construct,dimension,dimension_description,indicator,text
syn_0143,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My calendar has no white space. Every free block is pre-occupied mentally with the task due in the next block. There's no room for spontaneity or real rest.
syn_0120,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a birthday party, and I was the one staring at my phone, not for social media, but to check my school email. I missed the cake because I was waiting for a teacher's reply."
syn_0117,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My 'break' was me sitting on the couch, re-reading my history notes for the tenth time, even though there was no quiz. I just couldn't stop. It's like a compulsion."
syn_0141,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,The bell rings for the last period. I don't feel joy. I feel dread because 'free time' just means the work I have to do at home is now my mental companion.
syn_0112,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Tried to cook dinner, a hobby I usually love. But I kept stopping to write notes to myself about the history research paper. The recipe was forgotten. School consumed the kitchen."
syn_0125,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"During lunch, I'm not eating. I'm listing all the things I have to do after school. My friends talk about movies; I'm mentally highlighting textbook chapters. I'm not there."
syn_0123,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My free time is spent mentally writing emails to teachers explaining why I need extensions, even when I haven't asked for one yet. I'm rehearsing failure."
syn_0354,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I spent three nights on that research paper. My friend wrote hers in one sitting and got an A+. I got a C-. It's like we're playing completely different games. I don't know what I'm missing, but clearly I'm missing something fundamental."
syn_0363,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I got a B- on my midterm. For some, that's fine. For me, it's a catastrophe. My parents expect A's. I expect A's. And now I'm proving to everyone—especially myself—that I can't even meet my own low-bar expectations."
syn_0362,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,My internship supervisor gave me 'constructive feedback' that basically said my work was subpar. I tried so hard. I stayed late. I double-checked everything. It wasn't hard work that failed; it was me.
syn_0374,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I'm in my third year, and I still feel like a freshman. I haven't found my stride. Other students are publishing, interning, leading clubs. I'm just trying to survive my classes without embarrassing myself."
syn_0373,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The TA graded my problem set and wrote 'incorrect approach' in the margin. I have no idea what the correct approach is. I thought I was applying the formula. Evidently, I don't even understand the formula."
syn_0396,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The professor asked for my thoughts on the article. I had none. Just a vague feeling of confusion. Everyone else had a nuanced take. I sat there mute, wondering how I got into a program where I have nothing to contribute."
syn_0353,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"Looking at the honors list again, and my name isn't there. I shouldn't care this much, but I do. It's a constant reminder that no matter how many hours I pour into this, I'm just mediocre. I'm not living up to my own potential, let alone anyone else's."
syn_0397,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"My peer reviewer said my argument 'lacks persuasiveness.' I thought I was making a point. Apparently, I was just stating opinions without evidence. I don't know how to build an argument. I thought that was what school taught you."
syn_0361,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The syllabus says we should be able to do X by now. I can't do X. Not even close. I look around the room and everyone's head is nodding during lecture. Mine is spinning. I'm falling behind, and I don't know how to catch up."
syn_0385,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"The professor announced the top three papers. Mine wasn't mentioned. I didn't expect it to be, but the disappointment still stings. I work so hard to produce mediocrity. What's the point of the effort if the result is always the same?"
syn_0357,School burnout,Sense of inadequacy at school,Diminished confidence in one's academic abilities and lowered self-expectations,feeling inadequate in schoolwork,"I compare my essay to the sample A+ paper the professor posted. The difference is laughable. My writing feels clunky, my arguments thin, my insight nonexistent. How am I supposed to produce work at that level? I don't have the talent."
