ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
"Salute our Dallas HealthcareHeroes Energy Transfer will donate $50 to Parkland Foundations Public Health Preparedness Fund, up to a total of $100k, for each video expressing thanks to a healthcare professional in your life, to Parkland Hospital, or to the Dallas healthcare community working on the frontlines against the COVID-19 pandemic.",CA,,,,CA
Energy production creates Pennsylvania jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
"Two Williams employees are going above and beyond to help those around them by volunteering at Filling The Void and serving over 4,500 meals to those in need. Read more about this inspiring story. wmb.link/serving-hope",CA,,,,CA
"Matt Tomter of Matanuska Brewing Co. knows small businesses rely on a stable economy. That's why he believes now is not the time to raise taxes on the oil industry or any business, as that will just put our economy and jobs even more at risk.",CA,CB,,,CA
Energy production creates Louisiana jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CA
Restricting local oil and gas production would hurt the Central Valleys way of life through job loss and lower tax revenues for vital public services.,CA,CB,,,CA
73 percent of voters believe the oil and natural gas industry will play an important role in helping our economy recover from the economic impact of the coronavirus pandemic.,CA,,,,CA
"America is energy independent thanks to U.S. oil and natural gas production. Now, that hard-earned independence is in jeopardy. The time to protect U.S. energy is now. Its never been more important to our national security and our economy.",SA,CA,,,CA
"Pennsylvania's existing impact tax has already produced nearly $1.7 billion in funds that pay for roads, parks, public safety, and other essential services. The Governor's new plan unnecessarily jeopardizes hundreds of thousands of jobs and much-needed local and state tax revenue.",CA,CB,,,CB
Williams Rocky Mountain Midstream employs 160 Coloradans with good-paying jobs across the Front Range.,CB,,,,CB
Energy production creates Louisiana jobs and a stronger economy. Stay up to date with all things energy by signing up below.,CA,CB,,,CB
"Lets protect Michigan lakes, jobs and paychecks. Lets build the GreatLakesTunnel.",PA,CB,,,CB
"Pipelines are good for the Texas economy, improve air quality, and have a 99.999% safety record. Sign the pledge, support the Permian Highway Pipeline.",CA,CB,PA,,CB
Streamlining NEPAs burdensome review process could create a building boom that serves as a stimulus for our economy and put thousands of middle-class Americans to work revitalizing our nations infrastructure.,CA,CB,,,CB
Alaskans will decide an issue this year that affects Alaska's economic future. Everyone needs to consider the facts before deciding where they stand.,CA,CB,,,CB
"NEPA has increasingly been misused to delay and prevent infrastructure development, negatively affecting jobs, tax revenue and investments in communities across the country.",CA,CB,,,CB
DidYouKnow: PA's increased natural gas electric generation capacity led to a 13% increase in employment in PA's natural gas sector between 2017 and 2019,CB,GC,,,CB
"Learn how one mans mission to protect the environment led to a collaboration between environmental groups, the EPA, and natural gas and oil companies.",GA,,,,GA
"The U.S. is now the worlds leading energy producer and our greenhouse gas emissions are at the lowest level in a generation. American leadership in energy comes with a responsibility to protect the environment we can fulfill that responsibility, while also meeting demand.",SA,GA,,,GA
"TCI puts a carbon price on transportation. It will cut emissions, improve infrastructure and create jobs NY needs right now.",GA,,,,GA
"Why advocate for carbon pricing? Because its good for the people of Illinois, good for business, and good for the planet.",GA,,,,GA
Find Out How Wind Energy Powers Rural Economies. Learn how wind helps rural communities at,GA,,,,GA
"TCI puts a carbon price on transportation. It will cut emissions, improve infrastructure and create jobs NJ needs right now.",GA,,,,GA
